Experiment,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,TER,Ethical Alignment,Sentiment Distribution,Inclusivity Score,Complexity Score
EXPERIMENT 91 - P1,0.19,0.61,0.29,0.32,0.35,0.89,0.02,0.16,0.02,29.13
EXPERIMENT 91 - P2,0.01,0.38,0.02,0.24,0.17,0.91,0.04,0.15,0.02,32.3
EXPERIMENT 91 - Whole,0.13,0.51,0.2,0.3,0.27,0.9,0.07,0.16,0.02,30.22
EXPERIMENT 41 - P1,0.94,0.98,0.95,0.98,0.98,0.04,-0.04,0.04,0.0,36.84
EXPERIMENT 41 - P2,0.94,0.97,0.95,0.97,0.98,0.04,-0.01,0.04,0.01,30.64
EXPERIMENT 41 - Whole,0.94,0.97,0.95,0.97,0.98,0.04,-0.01,0.03,0.0,33.14
EXPERIMENT 40 - P1,0.82,0.92,0.86,0.92,0.93,0.12,-0.04,0.04,0.0,36.7
EXPERIMENT 40 - P2,0.76,0.88,0.75,0.86,0.89,0.19,-0.0,0.04,0.01,28.92
EXPERIMENT 40 - Whole,0.79,0.9,0.8,0.89,0.9,0.16,-0.0,0.03,0.0,32.13
EXPERIMENT 30 - P1,0.53,0.97,0.65,0.66,0.79,0.4,-0.01,0.06,0.0,37.82
EXPERIMENT 30 - P2,0.57,1.0,0.57,0.63,0.93,0.36,-0.01,0.02,0.01,31.94
EXPERIMENT 30 - Whole,0.55,0.98,0.6,0.64,0.88,0.43,-0.01,0.02,0.0,34.21
EXPERIMENT 23.1 - P1,0.77,0.92,0.86,0.91,0.89,0.14,-0.05,0.02,0.0,38.8
EXPERIMENT 23.1 - P2,0.77,0.92,0.81,0.89,0.84,0.16,0.01,0.02,0.01,30.51
EXPERIMENT 23.1 - Whole,0.77,0.92,0.83,0.9,0.83,0.15,-0.01,0.01,0.0,33.77
EXPERIMENT 23.0 - P1,0.88,0.96,0.93,0.96,0.95,0.07,-0.05,0.03,0.0,38.17
EXPERIMENT 23.0 - P2,0.92,0.97,0.92,0.95,0.97,0.07,0.0,0.02,0.01,30.73
EXPERIMENT 23.0 - Whole,0.9,0.97,0.92,0.96,0.95,0.07,-0.01,0.02,0.0,33.74
EXPERIMENT 23.2 - P1,0.55,0.82,0.69,0.77,0.72,0.32,-0.07,0.01,0.0,40.97
EXPERIMENT 23.2 - P2,0.73,0.88,0.78,0.88,0.86,0.19,0.0,0.01,0.01,29.07
EXPERIMENT 23.2 - Whole,0.66,0.85,0.74,0.83,0.82,0.25,-0.02,0.01,0.0,33.84
EXPERIMENT 20 - P1,0.21,0.54,0.25,0.52,0.5,0.52,-0.08,0.01,0.01,37.08
EXPERIMENT 20 - P2,0.18,0.52,0.2,0.47,0.44,0.58,0.01,0.02,0.01,30.07
EXPERIMENT 20 - Whole,0.19,0.54,0.22,0.49,0.43,0.55,-0.01,0.01,0.01,32.97
EXPERIMENT 10 - P1,0.46,0.78,0.6,0.77,0.68,0.36,-0.06,0.01,0.01,41.94
EXPERIMENT 10 - P2,0.71,0.85,0.76,0.84,0.83,0.25,0.03,0.01,0.01,28.05
EXPERIMENT 10 - Whole,0.61,0.82,0.69,0.81,0.74,0.3,0.05,0.01,0.01,33.07
EXPERIMENT 91.2 - P1,0.19,0.6,0.3,0.32,0.36,0.79,-0.05,0.08,0.01,30.78
EXPERIMENT 91.2 - P2,0.01,0.37,0.02,0.22,0.17,0.93,0.02,0.19,0.0,27.98
